CODE;LIBELLE;URL
01034;Belley;https://upload.wikimedia.org/wikipedia/commons/d/d7/Blason_ville_fr_Belley_%28Ain%29.svg
01053;Bourg-en-Bresse;https://upload.wikimedia.org/wikipedia/commons/4/42/Blason_Bourg-en-Bresse.svg
01173;Gex;https://upload.wikimedia.org/wikipedia/commons/6/69/Blason_ville_fr_Gex_%28Ain%29.svg
01269;Nantua;https://upload.wikimedia.org/wikipedia/commons/6/6a/Blason_de_la_ville_de_Nantua_%28Ain%29.svg
02168;Château-Thierry;https://upload.wikimedia.org/wikipedia/commons/5/56/Blason_Ch%C3%A2teau-Thierry_02.svg
02408;Laon;https://upload.wikimedia.org/wikipedia/commons/2/26/Blason_ville_fr_Laon_%28Aisne%29.svg
02691;Saint-Quentin;https://upload.wikimedia.org/wikipedia/commons/2/2b/Blason_St-Quentin_02.svg
02722;Soissons;https://upload.wikimedia.org/wikipedia/commons/1/11/Blason_ville_fr_Soissons_%28Aisne%29.svg
02789;Vervins;https://upload.wikimedia.org/wikipedia/commons/c/c5/Heraldique_blason_ville_fr_vervins.svg
03185;Montluçon;https://upload.wikimedia.org/wikipedia/commons/6/63/Blason_ville_fr_Montlu%C3%A7on%2803%29.svg
03190;Moulins;https://upload.wikimedia.org/wikipedia/commons/3/35/Blason_ville_fr_Moulin_%28Allier%29.svg
03310;Vichy;https://upload.wikimedia.org/wikipedia/commons/9/92/Blason_fr_Vichy.svg
04019;Barcelonnette;https://upload.wikimedia.org/wikipedia/commons/c/ce/Blason_Barcelonette_04.svg
04039;Castellane;https://upload.wikimedia.org/wikipedia/commons/d/d5/Blason_Castellane.svg
04070;Digne-les-Bains;https://upload.wikimedia.org/wikipedia/commons/c/c8/Blason_DignelesBains.svg
04088;Forcalquier;https://upload.wikimedia.org/wikipedia/commons/1/10/Blason_Forcalquier.svg
05023;Briançon;https://upload.wikimedia.org/wikipedia/commons/e/e1/Blason_ville_fr_Brian%C3%A7on_%28Hautes-Alpes%29.svg
05061;Gap;https://upload.wikimedia.org/wikipedia/commons/e/e1/Blason_Gap.svg
06069;Grasse;https://upload.wikimedia.org/wikipedia/commons/f/f6/Blason_ville_fr_Grasse_%28Alpes_Maritimes%29.svg
06088;Nice;https://upload.wikimedia.org/wikipedia/commons/f/f0/Arms_of_Nice.svg
07132;Largentière;https://upload.wikimedia.org/wikipedia/commons/9/93/Blason_ville_fr_Largenti%C3%A8re_%28Ard%C3%A8che%29.svg
07186;Privas;https://upload.wikimedia.org/wikipedia/commons/1/1a/Blason_ville_fr_Privas_07.svg
07324;Tournon-sur-Rhône;https://upload.wikimedia.org/wikipedia/commons/1/16/Blason_ville_fr_Tournon-sur-Rh%C3%B4ne.svg
